25,2.423,2.315,2.078,2.2465
27,2.0875,1.9845,1.922,1.792
2,1.7515,1.8935,2.125,2.1095
25,2.198,2.135,2.0235,2.0595
1,2.2605,2.366,2.413,2.5705
25,2.5625,2.485,2.4125,2.5625
3,2.4425,2.6315,2.659,2.604
20,2.578,2.492,2.554,2.572
19,2.589,2.47,2.538,2.564
12,2.718,2.703,2.868,2.81
26,2.858,2.7755,2.596,2.5725
6,2.4245,2.572,2.5795,2.422
21,2.527,2.497,2.5315,2.4815
4,2.422,2.518,2.5,2.941
7,3.0575,3.1795,3.053,3.159
16,3.3275,3.3355,3.1655,3.2175
25,3.198,3.163,3.0835,3.1175
7,3.0975,3.193,3.0855,3.28
21,3.1855,3.117,3.2395,3.0995
6,3.085,3.2405,3.2385,3.0845
1,3.0245,3.2855,3.427,3.479
20,3.4315,3.349,3.5675,3.5625
12,3.505,3.498,3.779,3.6405
7,3.62,3.6845,3.526,3.572
10,3.672,3.675,3.817,3.9085
19,3.8995,3.7755,3.849,3.9885
25,3.947,3.861,3.7355,3.8625
11,3.9025,3.8785,3.937,3.96
8,4.0305,4.223,4.156,4.12
16,3.9895,4.026,3.948,3.9885
18,4.095,4.0995,3.964,3.8975
16,3.9305,3.8965,3.7095,3.7555
2,3.68,3.7975,3.8935,3.8985
12,3.798,3.782,3.9195,3.855
10,3.8825,3.8995,4.1525,4.2465
12,4.284,4.276,4.378,4.318
18,4.354,4.3295,4.2845,4.204
24,4.159,4.1075,4.1325,4.08
25,4.148,3.9575,3.884,3.9635
8,4.11,4.194,4.1515,4.183
27,4.08,3.966,3.905,3.7815
13,3.868,3.905,3.8815,4.0735
2,4.0975,4.2275,4.3055,4.2925
13,4.4115,4.4505,4.4395,4.6935
23,4.3245,4.212,4.249,4.217
12,4.3045,4.288,4.372,4.29
12,4.2145,4.2235,4.266,4.222
9,4.178,4.298,4.23,4.179
1,4.053,4.106,4.15,4.2045
14,4.25,4.225,4.2095,4.2
27,4.2155,4.138,4.0595,3.958
13,3.907,3.923,3.9435,4.045
5,4.112,4.1925,4.227,4.193
5,4.1775,4.535,4.522,4.514
8,4.528,4.6875,4.619,4.6055
4,4.526,4.6105,4.586,4.668
25,4.552,4.4925,4.4335,4.5455
6,4.6985,4.761,4.7855,4.68
8,4.7415,4.873,4.8005,4.766
17,4.734,4.749,4.671,4.6725
8,5.9245,6.232,6.1035,6.082
23,6.129,5.9405,5.942,5.9185
2,5.855,6.0305,6.31,6.3335
13,6.5075,6.4955,6.5265,6.6485
15,6.5795,6.5625,6.5645,6.4495
5,6.483,6.65,6.647,6.7015
1,6.587,6.7955,6.925,7.1125
26,7.0585,6.879,6.7105,6.7055
