3,2.423,2.315
1,2.078,2.2465
3,2.0875,1.9845
3,1.922,1.792
1,1.7515,1.8935
2,2.125,2.1095
3,2.198,2.135
1,2.0235,2.0595
1,2.2605,2.366
1,2.413,2.5705
3,2.5625,2.485
1,2.4125,2.5625
1,2.4425,2.6315
3,2.659,2.604
3,2.578,2.492
2,2.554,2.572
3,2.589,2.47
1,2.538,2.564
2,2.718,2.703
3,2.868,2.81
3,2.858,2.7755
2,2.596,2.5725
1,2.4245,2.572
3,2.5795,2.422
3,2.527,2.497
3,2.5315,2.4815
1,2.422,2.518
1,2.5,2.941
1,3.0575,3.1795
1,3.053,3.159
2,3.3275,3.3355
1,3.1655,3.2175
3,3.198,3.163
1,3.0835,3.1175
1,3.0975,3.193
1,3.0855,3.28
3,3.1855,3.117
3,3.2395,3.0995
1,3.085,3.2405
3,3.2385,3.0845
1,3.0245,3.2855
1,3.427,3.479
3,3.4315,3.349
2,3.5675,3.5625
2,3.505,3.498
3,3.779,3.6405
1,3.62,3.6845
1,3.526,3.572
2,3.672,3.675
1,3.817,3.9085
3,3.8995,3.7755
1,3.849,3.9885
3,3.947,3.861
1,3.7355,3.8625
2,3.9025,3.8785
2,3.937,3.96
1,4.0305,4.223
2,4.156,4.12
2,3.9895,4.026
1,3.948,3.9885
2,4.095,4.0995
3,3.964,3.8975
2,3.9305,3.8965
1,3.7095,3.7555
1,3.68,3.7975
2,3.8935,3.8985
2,3.798,3.782
3,3.9195,3.855
2,3.8825,3.8995
1,4.1525,4.2465
2,4.284,4.276
3,4.378,4.318
2,4.354,4.3295
3,4.2845,4.204
3,4.159,4.1075
3,4.1325,4.08
3,4.148,3.9575
1,3.884,3.9635
1,4.11,4.194
2,4.1515,4.183
3,4.08,3.966
3,3.905,3.7815
2,3.868,3.905
1,3.8815,4.0735
1,4.0975,4.2275
2,4.3055,4.2925
2,4.4115,4.4505
1,4.4395,4.6935
3,4.3245,4.212
2,4.249,4.217
2,4.3045,4.288
3,4.372,4.29
2,4.2145,4.2235
3,4.266,4.222
1,4.178,4.298
3,4.23,4.179
1,4.053,4.106
1,4.15,4.2045
2,4.25,4.225
2,4.2095,4.2
3,4.2155,4.138
3,4.0595,3.958
2,3.907,3.923
1,3.9435,4.045
1,4.112,4.1925
2,4.227,4.193
1,4.1775,4.535
2,4.522,4.514
1,4.528,4.6875
2,4.619,4.6055
1,4.526,4.6105
1,4.586,4.668
3,4.552,4.4925
1,4.4335,4.5455
1,4.6985,4.761
3,4.7855,4.68
1,4.7415,4.873
2,4.8005,4.766
2,4.734,4.749
2,4.671,4.6725
