14,2.423,2.315,2.078,2.2465,2.0875,1.9845,1.922
8,1.792,1.7515,1.8935,2.125,2.1095,2.198,2.135
1,2.0235,2.0595,2.2605,2.366,2.413,2.5705,2.5625
22,2.485,2.4125,2.5625,2.4425,2.6315,2.659,2.604
21,2.578,2.492,2.554,2.572,2.589,2.47,2.538
22,2.564,2.718,2.703,2.868,2.81,2.858,2.7755
22,2.596,2.5725,2.4245,2.572,2.5795,2.422,2.527
23,2.497,2.5315,2.4815,2.422,2.518,2.5,2.941
21,3.0575,3.1795,3.053,3.159,3.3275,3.3355,3.1655
22,3.2175,3.198,3.163,3.0835,3.1175,3.0975,3.193
10,3.0855,3.28,3.1855,3.117,3.2395,3.0995,3.085
10,3.2405,3.2385,3.0845,3.0245,3.2855,3.427,3.479
10,3.4315,3.349,3.5675,3.5625,3.505,3.498,3.779
21,3.6405,3.62,3.6845,3.526,3.572,3.672,3.675
22,3.817,3.9085,3.8995,3.7755,3.849,3.9885,3.947
2,3.861,3.7355,3.8625,3.9025,3.8785,3.937,3.96
6,4.0305,4.223,4.156,4.12,3.9895,4.026,3.948
22,3.9885,4.095,4.0995,3.964,3.8975,3.9305,3.8965
22,3.7095,3.7555,3.68,3.7975,3.8935,3.8985,3.798
20,3.782,3.9195,3.855,3.8825,3.8995,4.1525,4.2465
21,4.284,4.276,4.378,4.318,4.354,4.3295,4.2845
4,4.204,4.159,4.1075,4.1325,4.08,4.148,3.9575
2,3.884,3.9635,4.11,4.194,4.1515,4.183,4.08
5,3.966,3.905,3.7815,3.868,3.905,3.8815,4.0735
1,4.0975,4.2275,4.3055,4.2925,4.4115,4.4505,4.4395
7,4.6935,4.3245,4.212,4.249,4.217,4.3045,4.288
21,4.372,4.29,4.2145,4.2235,4.266,4.222,4.178
5,4.298,4.23,4.179,4.053,4.106,4.15,4.2045
4,4.25,4.225,4.2095,4.2,4.2155,4.138,4.0595
20,3.958,3.907,3.923,3.9435,4.045,4.112,4.1925
24,4.227,4.193,4.1775,4.535,4.522,4.514,4.528
21,4.6875,4.619,4.6055,4.526,4.6105,4.586,4.668
20,4.552,4.4925,4.4335,4.5455,4.6985,4.761,4.7855
11,4.68,4.7415,4.873,4.8005,4.766,4.734,4.749
2,4.671,4.6725,5.9245,6.232,6.1035,6.082,6.129
20,5.9405,5.942,5.9185,5.855,6.0305,6.31,6.3335
21,6.5075,6.4955,6.5265,6.6485,6.5795,6.5625,6.5645
22,6.4495,6.483,6.65,6.647,6.7015,6.587,6.7955
13,6.925,7.1125,7.0585,6.879,6.7105,6.7055,6.5655
7,6.769,6.7075,6.569,6.5115,6.418,6.3455,6.424
18,6.6395,6.6875,6.947,6.9235,6.9655,6.9705,6.8245
14,6.726,6.695,6.7345,6.6125,6.5,6.676,6.5155
21,6.3675,6.4555,6.3675,6.357,6.3805,6.289,6.331
17,6.0715,6.0155,5.974,6.1375,6.3015,6.2705,5.9435
21,5.906,5.955,5.797,5.8695,5.8415,5.9015,5.868
7,6.0045,5.983,5.8765,5.8155,5.904,5.876,5.9005
20,5.862,5.986,5.91,5.92,6.227,6.2765,6.2945
24,6.4265,6.4455,6.5055,6.441,6.5255,6.679,6.591
21,6.5565,6.5895,6.567,6.638,6.5175,6.5235,6.463
18,6.402,6.7365,6.753,6.756,6.829,6.7885,6.5905
8,6.5745,6.778,6.7435,7.048,7.003,7.06,7.008
10,7.214,7.291,7.1085,7.1215,7.21,7.3215,7.5045
9,7.1815,7.3555,7.101,6.9675,7.0865,6.855,6.8745
5,6.4915,6.5465,6.4355,6.249,6.5645,6.523,6.6935
22,6.5735,6.4265,6.4455,6.314,6.2295,5.9855,6.136
23,6.106,6.243,6.1605,6.335,6.273,6.162,6.3155
5,6.438,6.1385,6.1005,5.942,5.8955,6.1605,6.1515
13,6.1915,6.342,6.345,6.2945,6.2915,6.1275,6.1155
9,6.0725,5.9165,6.05,5.89,5.4305,5.463,5.548
1,5.457,5.503,5.6715,5.811,5.863,5.9755,6.1825
7,6.165,6.103,5.9245,5.997,6.005,5.8715,6.0035
21,5.9435,5.92,5.8565,5.8565,5.843,5.8945,6.0035
11,6.121,6.379,6.3915,6.416,6.4415,6.5,6.2945
2,6.328,6.2345,6.3035,6.443,6.4825,6.3785,6.388
22,6.33,6.2265,6.3425,6.243,6.332,6.1895,6.2415
1,6.6245,6.7605,6.9395,6.861,6.957,7.019,7.122
1,7.2535,7.2875,7.2725,7.4065,7.416,7.565,7.5365
11,7.5915,7.6425,8.0365,7.9685,7.985,7.9495,7.853
6,7.6855,7.7695,8.0435,7.77,7.8135,7.7775,7.6515
6,7.824,7.7585,7.7765,8.232,8.178,7.9335,7.9335
6,8.2485,8.4565,8.45,8.4975,8.3755,8.342,8.2615
1,8.129,8.2305,8.4235,8.4465,8.5385,8.5995,8.5135
5,8.6665,8.5185,8.284,7.945,7.889,7.9175,8.2085
22,8.241,8.5195,8.41,8.8625,8.86,8.9745,8.77
21,8.8275,8.8265,8.784,8.9025,8.8385,8.8145,8.7425
20,8.781,8.7125,8.697,8.7785,8.902,8.879,9.1645
21,9.2375,9.238,9.1295,9.107,9.0545,9.1685,9.1375
2,9.0,9.211,9.2505,9.371,9.293,9.2745,9.234
6,9.217,9.204,9.2765,9.4375,9.5625,9.3435,9.098
16,8.871,8.8425,8.835,8.7695,9.2225,8.557,8.482
1,8.6055,8.6765,8.6855,8.7965,8.8215,9.153,9.265
21,9.3105,9.4625,9.521,9.4515,9.331,9.388,9.325
20,9.021,8.834,8.8875,8.862,8.6645,8.472,8.601
20,8.6395,8.5835,8.454,8.3445,8.4525,8.307,8.4035
14,8.3365,8.254,8.235,8.0485,8.091,8.226,8.13
24,8.266,8.555,8.549,8.4675,8.731,8.971,9.0065
2,9.0065,9.147,9.2645,9.138,9.2455,9.2355,9.202
22,9.024,9.1145,9.091,9.0005,8.917,8.941,9.1935
22,9.2945,9.271,9.115,9.8315,9.7535,9.7905,10.0595
20,9.9225,9.9985,9.8555,9.88,10.04,10.197,10.219
5,10.3035,10.128,9.6255,9.7405,9.8545,9.94,9.9325
21,9.811,9.6635,9.613,9.75,9.7065,9.8345,9.62
7,9.6825,9.416,9.2845,9.3775,9.4025,9.484,9.3265
10,9.3145,9.498,9.299,9.1825,9.3185,9.386,9.7115
20,9.5815,9.708,9.6275,10.0625,10.1175,10.209,10.2245
5,10.4745,10.6595,10.7095,10.837,10.914,10.6275,10.5615
