9,2.423,2.315,2.078
9,2.2465,2.0875,1.9845
9,1.922,1.792,1.7515
2,1.8935,2.125,2.1095
9,2.198,2.135,2.0235
1,2.0595,2.2605,2.366
2,2.413,2.5705,2.5625
7,2.485,2.4125,2.5625
1,2.4425,2.6315,2.659
6,2.604,2.578,2.492
5,2.554,2.572,2.589
1,2.47,2.538,2.564
4,2.718,2.703,2.868
3,2.81,2.858,2.7755
6,2.596,2.5725,2.4245
6,2.572,2.5795,2.422
7,2.527,2.497,2.5315
7,2.4815,2.422,2.518
1,2.5,2.941,3.0575
7,3.1795,3.053,3.159
6,3.3275,3.3355,3.1655
6,3.2175,3.198,3.163
2,3.0835,3.1175,3.0975
7,3.193,3.0855,3.28
7,3.1855,3.117,3.2395
4,3.0995,3.085,3.2405
9,3.2385,3.0845,3.0245
1,3.2855,3.427,3.479
7,3.4315,3.349,3.5675
8,3.5625,3.505,3.498
8,3.779,3.6405,3.62
7,3.6845,3.526,3.572
4,3.672,3.675,3.817
6,3.9085,3.8995,3.7755
3,3.849,3.9885,3.947
7,3.861,3.7355,3.8625
4,3.9025,3.8785,3.937
1,3.96,4.0305,4.223
6,4.156,4.12,3.9895
7,4.026,3.948,3.9885
6,4.095,4.0995,3.964
5,3.8975,3.9305,3.8965
3,3.7095,3.7555,3.68
2,3.7975,3.8935,3.8985
4,3.798,3.782,3.9195
5,3.855,3.8825,3.8995
2,4.1525,4.2465,4.284
3,4.276,4.378,4.318
6,4.354,4.3295,4.2845
9,4.204,4.159,4.1075
7,4.1325,4.08,4.148
7,3.9575,3.884,3.9635
3,4.11,4.194,4.1515
9,4.183,4.08,3.966
7,3.905,3.7815,3.868
4,3.905,3.8815,4.0735
1,4.0975,4.2275,4.3055
2,4.2925,4.4115,4.4505
3,4.4395,4.6935,4.3245
5,4.212,4.249,4.217
4,4.3045,4.288,4.372
8,4.29,4.2145,4.2235
9,4.266,4.222,4.178
9,4.298,4.23,4.179
1,4.053,4.106,4.15
2,4.2045,4.25,4.225
5,4.2095,4.2,4.2155
9,4.138,4.0595,3.958
5,3.907,3.923,3.9435
1,4.045,4.112,4.1925
5,4.227,4.193,4.1775
5,4.535,4.522,4.514
3,4.528,4.6875,4.619
7,4.6055,4.526,4.6105
3,4.586,4.668,4.552
7,4.4925,4.4335,4.5455
2,4.6985,4.761,4.7855
1,4.68,4.7415,4.873
5,4.8005,4.766,4.734
8,4.749,4.671,4.6725
3,5.9245,6.232,6.1035
6,6.082,6.129,5.9405
6,5.942,5.9185,5.855
2,6.0305,6.31,6.3335
5,6.5075,6.4955,6.5265
8,6.6485,6.5795,6.5625
8,6.5645,6.4495,6.483
5,6.65,6.647,6.7015
1,6.587,6.7955,6.925
6,7.1125,7.0585,6.879
6,6.7105,6.7055,6.5655
6,6.769,6.7075,6.569
9,6.5115,6.418,6.3455
2,6.424,6.6395,6.6875
5,6.947,6.9235,6.9655
9,6.9705,6.8245,6.726
6,6.695,6.7345,6.6125
3,6.5,6.676,6.5155
3,6.3675,6.4555,6.3675
6,6.357,6.3805,6.289
8,6.331,6.0715,6.0155
1,5.974,6.1375,6.3015
8,6.2705,5.9435,5.906
7,5.955,5.797,5.8695
2,5.8415,5.9015,5.868
6,6.0045,5.983,5.8765
2,5.8155,5.904,5.876
4,5.9005,5.862,5.986
4,5.91,5.92,6.227
4,6.2765,6.2945,6.4265
5,6.4455,6.5055,6.441
3,6.5255,6.679,6.591
5,6.5565,6.5895,6.567
8,6.638,6.5175,6.5235
4,6.463,6.402,6.7365
4,6.753,6.756,6.829
8,6.7885,6.5905,6.5745
4,6.778,6.7435,7.048
5,7.003,7.06,7.008
3,7.214,7.291,7.1085
1,7.1215,7.21,7.3215
7,7.5045,7.1815,7.3555
7,7.101,6.9675,7.0865
6,6.855,6.8745,6.4915
9,6.5465,6.4355,6.249
4,6.5645,6.523,6.6935
8,6.5735,6.4265,6.4455
9,6.314,6.2295,5.9855
4,6.136,6.106,6.243
2,6.1605,6.335,6.273
1,6.162,6.3155,6.438
6,6.1385,6.1005,5.942
2,5.8955,6.1605,6.1515
2,6.1915,6.342,6.345
6,6.2945,6.2915,6.1275
6,6.1155,6.0725,5.9165
9,6.05,5.89,5.4305
3,5.463,5.548,5.457
1,5.503,5.6715,5.811
1,5.863,5.9755,6.1825
9,6.165,6.103,5.9245
6,5.997,6.005,5.8715
5,6.0035,5.9435,5.92
5,5.8565,5.8565,5.843
1,5.8945,6.0035,6.121
5,6.379,6.3915,6.416
6,6.4415,6.5,6.2945
7,6.328,6.2345,6.3035
6,6.443,6.4825,6.3785
6,6.388,6.33,6.2265
7,6.3425,6.243,6.332
4,6.1895,6.2415,6.6245
3,6.7605,6.9395,6.861
4,6.957,7.019,7.122
5,7.2535,7.2875,7.2725
4,7.4065,7.416,7.565
5,7.5365,7.5915,7.6425
5,8.0365,7.9685,7.985
9,7.9495,7.853,7.6855
3,7.7695,8.0435,7.77
6,7.8135,7.7775,7.6515
5,7.824,7.7585,7.7765
6,8.232,8.178,7.9335
1,7.9335,8.2485,8.4565
6,8.45,8.4975,8.3755
6,8.342,8.2615,8.129
2,8.2305,8.4235,8.4465
6,8.5385,8.5995,8.5135
9,8.6665,8.5185,8.284
5,7.945,7.889,7.9175
4,8.2085,8.241,8.5195
2,8.41,8.8625,8.86
8,8.9745,8.77,8.8275
4,8.8265,8.784,8.9025
5,8.8385,8.8145,8.7425
5,8.781,8.7125,8.697
2,8.7785,8.902,8.879
5,9.1645,9.2375,9.238
5,9.1295,9.107,9.0545
6,9.1685,9.1375,9
4,9.211,9.2505,9.371
5,9.293,9.2745,9.234
5,9.217,9.204,9.2765
3,9.4375,9.5625,9.3435
8,9.098,8.871,8.8425
4,8.835,8.7695,9.2225
4,8.557,8.482,8.6055
4,8.6765,8.6855,8.7965
