75,2.423,2.315,2.078,2.2465,2.0875
79,1.9845,1.922,1.792,1.7515,1.8935
36,2.125,2.1095,2.198,2.135,2.0235
1,2.0595,2.2605,2.366,2.413,2.5705
75,2.5625,2.485,2.4125,2.5625,2.4425
24,2.6315,2.659,2.604,2.578,2.492
43,2.554,2.572,2.589,2.47,2.538
12,2.564,2.718,2.703,2.868,2.81
78,2.858,2.7755,2.596,2.5725,2.4245
48,2.572,2.5795,2.422,2.527,2.497
74,2.5315,2.4815,2.422,2.518,2.5
7,2.941,3.0575,3.1795,3.053,3.159
47,3.3275,3.3355,3.1655,3.2175,3.198
58,3.163,3.0835,3.1175,3.0975,3.193
25,3.0855,3.28,3.1855,3.117,3.2395
33,3.0995,3.085,3.2405,3.2385,3.0845
3,3.0245,3.2855,3.427,3.479,3.4315
17,3.349,3.5675,3.5625,3.505,3.498
66,3.779,3.6405,3.62,3.6845,3.526
10,3.572,3.672,3.675,3.817,3.9085
57,3.8995,3.7755,3.849,3.9885,3.947
56,3.861,3.7355,3.8625,3.9025,3.8785
30,3.937,3.96,4.0305,4.223,4.156
70,4.12,3.9895,4.026,3.948,3.9885
53,4.095,4.0995,3.964,3.8975,3.9305
61,3.8965,3.7095,3.7555,3.68,3.7975
49,3.8935,3.8985,3.798,3.782,3.9195
37,3.855,3.8825,3.8995,4.1525,4.2465
35,4.284,4.276,4.378,4.318,4.354
81,4.3295,4.2845,4.204,4.159,4.1075
63,4.1325,4.08,4.148,3.9575,3.884
8,3.9635,4.11,4.194,4.1515,4.183
79,4.08,3.966,3.905,3.7815,3.868
31,3.905,3.8815,4.0735,4.0975,4.2275
32,4.3055,4.2925,4.4115,4.4505,4.4395
77,4.6935,4.3245,4.212,4.249,4.217
36,4.3045,4.288,4.372,4.29,4.2145
25,4.2235,4.266,4.222,4.178,4.298
73,4.23,4.179,4.053,4.106,4.15
14,4.2045,4.25,4.225,4.2095,4.2
81,4.2155,4.138,4.0595,3.958,3.907
28,3.923,3.9435,4.045,4.112,4.1925
38,4.227,4.193,4.1775,4.535,4.522
35,4.514,4.528,4.6875,4.619,4.6055
12,4.526,4.6105,4.586,4.668,4.552
55,4.4925,4.4335,4.5455,4.6985,4.761
57,4.7855,4.68,4.7415,4.873,4.8005
44,4.766,4.734,4.749,4.671,4.6725
23,5.9245,6.232,6.1035,6.082,6.129
43,5.9405,5.942,5.9185,5.855,6.0305
32,6.31,6.3335,6.5075,6.4955,6.5265
69,6.6485,6.5795,6.5625,6.5645,6.4495
15,6.483,6.65,6.647,6.7015,6.587
6,6.7955,6.925,7.1125,7.0585,6.879
47,6.7105,6.7055,6.5655,6.769,6.7075
52,6.569,6.5115,6.418,6.3455,6.424
32,6.6395,6.6875,6.947,6.9235,6.9655
77,6.9705,6.8245,6.726,6.695,6.7345
63,6.6125,6.5,6.676,6.5155,6.3675
69,6.4555,6.3675,6.357,6.3805,6.289
